date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_weighted_impact_score,event_confidence_mean,event_reliability_mean,event_high_reliability_count,latest_event_source_reliability,latest_event_type,latest_event_title,latest_event_source,latest_event_source_category
2025-12-29,000858,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 000858 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-19,002594,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 002594 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-22,002594,2,2,1,1,1,-0.09585063458456072,-0.03109698814022701,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-23,002594,2,2,1,1,1,-0.09585063458456078,-0.031096988140227017,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-24,002594,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-25,002594,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 002594 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-16,300750,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 300750 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-17,300750,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 300750 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-18,300750,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 300750 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-19,300750,2,2,1,1,1,-0.09585063458456072,-0.03109698814022701,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-22,300750,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 300750 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-22,600036,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600036 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-23,600036,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 600036 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-24,600036,2,2,1,1,1,-0.09585063458456072,-0.03109698814022701,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-25,600036,2,2,1,1,1,-0.09585063458456078,-0.031096988140227017,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-26,600036,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-24,600519,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600519 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-25,600519,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600519 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-26,600519,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 600519 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-29,600519,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-30,600519,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 600519 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-18,600900,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600900 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-19,600900,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600900 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-22,600900,2,2,1,1,1,-0.09585063458456078,-0.031096988140227017,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-23,600900,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-24,600900,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 600900 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-22,601318,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601318 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-23,601318,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601318 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-24,601318,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 601318 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-25,601318,2,2,1,1,1,-0.09585063458456072,-0.03109698814022701,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-26,601318,2,2,1,1,1,-0.09585063458456078,-0.031096988140227017,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-17,601888,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601888 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-18,601888,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601888 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-19,601888,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 601888 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-22,601888,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-23,601888,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 601888 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
