theme,theme_group,rows,unique_symbols,required_min_symbols,coverage_ratio,coverage_status,can_enter_training_pool,can_support_trusted_evidence,symbol_sample,notes
media_game_ai_application,expanded_hot,28,28,20,1.4,ready,True,True,300418;002555;300315;002602;002517;300002;600633;600556,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
datacenter_optical_liquid_cooling,expanded_hot,30,30,20,1.5,ready,True,True,300308;300502;300394;300570;002281;000988;603083;688498,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
xinchuang_software_cybersecurity,expanded_hot,32,32,20,1.6,ready,True,True,600536;000938;000977;002230;300454;002415;002410;300339,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
smart_ev_autonomous_driving,expanded_hot,37,37,20,1.85,ready,True,True,002594;601633;000625;600104;601238;600418;601127;600733,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
renewable_grid_storage,expanded_hot,38,38,20,1.9,ready,True,True,601012;300274;688599;002459;600438;002129;603806;603185,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
environmental_water_gas,expanded_hot;free_market_extension,26,26,20,1.3,ready,True,True,300070;600323;600461;000544;000598;601158;600008;601199,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
home_appliance_export,expanded_hot;free_market_extension,26,26,20,1.3,ready,True,True,000333;600690;000651;002508;002032;002242;603868;688169,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
real_estate_chain,expanded_hot;free_market_extension,28,28,20,1.4,ready,True,True,000002;600048;001979;601155;600383;000069;600606;000402,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
shipping_ports_logistics,expanded_hot;free_market_extension,31,31,20,1.55,ready,True,True,601919;601872;601866;601598;600026;600428;600018;001872,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
rare_earth_magnetic_materials,professional_hot,8,8,8,1.0,ready,True,True,600111;000831;600392;000970;002056;300224;002600;300748,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
advanced_packaging_chiplet_pcb,professional_hot,9,9,8,1.125,ready,True,True,600584;002156;002463;002916;002938;300476;603228;688183,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
medical_device_ivd_imaging,professional_hot,9,9,8,1.125,ready,True,True,300760;688271;688617;688029;300482;688575;300003;300595,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
commercial_space_satellite_internet,professional_hot,10,10,8,1.25,ready,True,True,600118;688066;688568;002151;300627;002465;300045;688239,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
cpo_optical_module_datacenter,professional_hot,10,10,8,1.25,ready,True,True,300308;300502;300394;300570;002281;688498;600522;600487,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
humanoid_robot_core_parts,professional_hot,10,10,8,1.25,ready,True,True,688017;002747;300124;002472;603662;300660;301368;002050,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
industrial_mother_machine_laser,professional_hot,10,10,8,1.25,ready,True,True,300161;688698;000988;002008;300607;603283;688305;601100,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
shipbuilding_ocean_shipping,professional_hot,10,10,8,1.25,ready,True,True,600150;601989;600482;601919;601872;600026;600428;600018,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
uhv_smart_grid_power_equipment,professional_hot,10,10,8,1.25,ready,True,True,600406;601179;600312;002028;600089;601877;300001;300491,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
cxo_biotech_innovative_drug,professional_hot,11,11,8,1.375,ready,True,True,603259;300759;300347;002821;300363;300725;600276;688235,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
solid_state_battery_materials,professional_hot,11,11,8,1.375,ready,True,True,300750;688567;300073;002709;603659;688116;688388;300390,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
semiconductor_equipment_materials,professional_hot,14,14,8,1.75,ready,True,True,002371;688012;688072;688120;688037;688019;688200;300604,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
central_soe_high_dividend,professional_hot;free_market_extension,22,22,8,2.0,ready,True,True,600900;601088;600028;601857;600938;600941;601728;601816,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
